ID,Name,Year,Category,Status,Latitude,Longitude,Month,Day,Time,Minimum Pressure (mb),Maximum Wind (kt)
EP012000,             ALETTA,2000,2, Tropical Depression,13.3,-99.2,5,22,1200,1005,25
EP012000,             ALETTA,2000,2, Tropical Depression,13.9,-100.2,5,22,1800,1004,30
EP012000,             ALETTA,2000,2, Tropical Depression,14.3,-101.1,5,23,0,1003,30
EP012000,             ALETTA,2000,2, Tropical Storm,14.5,-101.8,5,23,600,1002,35
EP012000,             ALETTA,2000,2, Tropical Storm,14.5,-102.5,5,23,1200,1001,40
EP012000,             ALETTA,2000,2, Tropical Storm,14.5,-103.1,5,23,1800,1000,45
EP012000,             ALETTA,2000,2, Tropical Storm,14.6,-103.7,5,24,0,997,50
EP012000,             ALETTA,2000,2, Tropical Storm,14.6,-104.3,5,24,600,990,60
EP012000,             ALETTA,2000,2, Hurricane,14.7,-105.1,5,24,1200,983,70
EP012000,             ALETTA,2000,2, Hurricane,14.8,-105.9,5,24,1800,975,90
EP012000,             ALETTA,2000,2, Hurricane,14.9,-106.6,5,25,0,970,90
EP012000,             ALETTA,2000,2, Hurricane,15,-107.3,5,25,600,972,90
EP012000,             ALETTA,2000,2, Hurricane,15.1,-107.7,5,25,1200,974,85
EP012000,             ALETTA,2000,2, Hurricane,15,-107.7,5,25,1800,975,85
EP012000,             ALETTA,2000,2, Hurricane,14.8,-107.7,5,26,0,977,80
EP012000,             ALETTA,2000,2, Hurricane,14.8,-107.6,5,26,600,979,75
EP012000,             ALETTA,2000,2, Hurricane,14.8,-107.5,5,26,1200,980,70
EP012000,             ALETTA,2000,2, Hurricane,15,-107.8,5,26,1800,985,65
EP012000,             ALETTA,2000,2, Tropical Storm,14.8,-107.8,5,27,0,990,60
EP012000,             ALETTA,2000,2, Tropical Storm,15.1,-107.5,5,27,600,995,55
EP012000,             ALETTA,2000,2, Tropical Storm,15.4,-107.4,5,27,1200,1000,45
EP012000,             ALETTA,2000,2, Tropical Depression,15.6,-107.5,5,27,1800,1004,30
EP012000,             ALETTA,2000,2, Tropical Depression,16.1,-107.5,5,28,0,1005,25
EP022000,                BUD,2000,1, Tropical Depression,13.1,-105.9,6,13,600,1002,30
EP022000,                BUD,2000,1, Tropical Storm,13.9,-106.6,6,13,1200,1000,35
EP022000,                BUD,2000,1, Tropical Storm,14.4,-107.4,6,13,1800,999,40
EP022000,                BUD,2000,1, Tropical Storm,14.9,-108.3,6,14,0,997,45
EP022000,                BUD,2000,1, Tropical Storm,15.5,-109.1,6,14,600,994,45
EP022000,                BUD,2000,1, Tropical Storm,16.3,-109.4,6,14,1200,994,45
